stem	words	count	pos	definitions
expert	{'expert'}	169	{'NOUN'}	[{'word': 'expert', 'definition': 'a person with special knowledge or ability who performs skillfully', 'sentence': 'Our ability to gain knowledge, presented as an irreducibly social enterprise, is arguably one in which it is then rational for a layperson to rely on the testimony of the expert (Hardwig, 1985)1.'}, {'word': 'expert', 'definition': 'a person with special knowledge or ability who performs skillfully', 'sentence': 'This rational reliance on the expert to gain knowledge is nevertheless associated with a certain sort of (more or less) voluntary blindness from the one seeking knowledge.'}, {'word': 'expert', 'definition': 'a person with special knowledge or ability who performs skillfully', 'sentence': 'The rationale would be that the epistemic dependence to which we are subject in relation to deep learning-based systems would itself be similar or analogous to that which we experience in relatively ordinary situations of lay deference to the expert (Zerilli et al. 2019, London, 2019).'}, {'word': 'expert', 'definition': 'a person with special knowledge or ability who performs skillfully', 'sentence': 'One can read, for example, that ‘essentially, the relationship between practitioner and AI system is epistemic ally analogous to the relationship between practitioner and expert’ (Bjerring & Bush, 2020, p. 6), or that ‘the features that make expert opinion trustworthy, and our trust in those individuals’ decisions both epistemic ally and ethically responsible—can be realized in AI as well’ (Ross, 2022, p. 8).'}, {'word': 'expert', 'definition': 'a person with special knowledge or ability who performs skillfully', 'sentence': 'One can read, for example, that ‘essentially, the relationship between practitioner and AI system is epistemic ally analogous to the relationship between practitioner and expert’ (Bjerring & Bush, 2020, p. 6), or that ‘the features that make expert opinion trustworthy, and our trust in those individuals’ decisions both epistemic ally and ethically responsible—can be realized in AI as well’ (Ross, 2022, p. 8).'}]
system	{'systems'}	124	{'NOUN'}	[{'word': 'systems', 'definition': 'instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity', 'sentence': 'Expertise, opacity, and trust in AI systems\n\nÉloïse Boisseau\n\n1 Introduction\n\nThe conjoined issues of the trust placed in experts and the deference shown by non-specialists toward them are well-established topics in social epistemology (Hardwig, 1985, 1991; Lackey, 2018; Goldman, 2001; Rolin, 2002; Whyte & Crease, 2010).'}, {'word': 'systems', 'definition': 'instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity', 'sentence': 'These matters about trust, dependence and expertise in the context of knowledge acquisition, traditional as they are, are nowadays being revisited as our epistemic world is being redefined by the arrival of what might seem to be new epistemic agents: artificial systems apparently endowed with entirely new cognitive-like capabilities.'}, {'word': 'systems', 'definition': 'instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity', 'sentence': 'Systems involving deep learning are widely used (to mention only some of the cases most frequently dis cussed in the literature) in the context of medical diagnosis and imaging (Lee et al., 2017; Grote & Berens, 2020; Bjerring & Busch, 2020), pol icing – within what is sometimes referred to as ‘predictive pol icing’ – (Asaro, 2019; Walsh, 2022), banking, finance and insurance (Narang et al., 2024; Pingili, 2024).'}, {'word': 'systems', 'definition': 'instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity', 'sentence': 'The observation is therefore that a growing number of our hitherto highly specialised tasks are now falling under the yoke of an epistemic dependence not only on human experts, but also on these new systems the efficiency and precision of which are often equivalent to, or greater than, that of human experts (Esteva et al., 2017; Rajpurkar et al., 2017).'}, {'word': 'systems', 'definition': 'instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity', 'sentence': 'It is also widely suggested that a new stage has in fact been reached as far as epistemic dependence is concerned, due to the possession by these programs of an unprecedented characteristic for artificial systems: a kind of ‘opacity’ (Burrell, 2016; Creel, 2020; Ross, 2022; Zerilli, 2022; Duede, 2022).'}]
epistem	{'epistemic'}	81	{'ADJ'}	[{'word': 'epistemic', 'definition': 'of or relating to epistemology', 'sentence': 'An overview of some of the major questions surrounding expertise further reveals the extent to which this notion of deference hinges on more general relationships of ‘epistemic dependence’, to use John Hardwig’s (1985) expression.'}, {'word': 'epistemic', 'definition': 'of or relating to epistemology', 'sentence': 'These matters about trust, dependence and expertise in the context of knowledge acquisition, traditional as they are, are nowadays being revisited as our epistemic world is being redefined by the arrival of what might seem to be new epistemic agents: artificial systems apparently endowed with entirely new cognitive-like capabilities.'}, {'word': 'epistemic', 'definition': 'of or relating to epistemology', 'sentence': 'These matters about trust, dependence and expertise in the context of knowledge acquisition, traditional as they are, are nowadays being revisited as our epistemic world is being redefined by the arrival of what might seem to be new epistemic agents: artificial systems apparently endowed with entirely new cognitive-like capabilities.'}, {'word': 'epistemic', 'definition': 'of or relating to epistemology', 'sentence': 'The observation is therefore that a growing number of our hitherto highly specialised tasks are now falling under the yoke of an epistemic dependence not only on human experts, but also on these new systems the efficiency and precision of which are often equivalent to, or greater than, that of human experts (Esteva et al., 2017; Rajpurkar et al., 2017).'}, {'word': 'epistemic', 'definition': 'of or relating to epistemology', 'sentence': 'It is also widely suggested that a new stage has in fact been reached as far as epistemic dependence is concerned, due to the possession by these programs of an unprecedented characteristic for artificial systems: a kind of ‘opacity’ (Burrell, 2016; Creel, 2020; Ross, 2022; Zerilli, 2022; Duede, 2022).'}]
expertis	{'expertise'}	80	{'NOUN'}	[{'word': 'expertise', 'definition': 'skillfulness by virtue of possessing special knowledge', 'sentence': 'Expertise, opacity, and trust in AI systems\n\nÉloïse Boisseau\n\n1 Introduction\n\nThe conjoined issues of the trust placed in experts and the deference shown by non-specialists toward them are well-established topics in social epistemology (Hardwig, 1985, 1991; Lackey, 2018; Goldman, 2001; Rolin, 2002; Whyte & Crease, 2010).'}, {'word': 'expertise', 'definition': 'skillfulness by virtue of possessing special knowledge', 'sentence': 'An overview of some of the major questions surrounding expertise further reveals the extent to which this notion of deference hinges on more general relationships of ‘epistemic dependence’, to use John Hardwig’s (1985) expression.'}, {'word': 'expertise', 'definition': 'skillfulness by virtue of possessing special knowledge', 'sentence': 'These matters about trust, dependence and expertise in the context of knowledge acquisition, traditional as they are, are nowadays being revisited as our epistemic world is being redefined by the arrival of what might seem to be new epistemic agents: artificial systems apparently endowed with entirely new cognitive-like capabilities.'}, {'word': 'expertise', 'definition': 'skillfulness by virtue of possessing special knowledge', 'sentence': 'An examination of such arguments will furthermore reveal the underlying conception of expertise on which the conceptualisation stands, which is veritistic through and through.'}, {'word': 'expertise', 'definition': 'skillfulness by virtue of possessing special knowledge', 'sentence': 'The fourth section of the paper will show the limits of this conception of expertise, and will argue against conceptualising trust in artificial systems on the model of trust in human experts.'}]
ai	{'ai'}	77	{'PROPN'}	[{'word': 'ai', 'definition': 'an agency of the United States Army responsible for providing timely and relevant and accurate and synchronized intelligence to tactical and operational and strategic level commanders', 'sentence': 'Expertise, opacity, and trust in AI systems\n\nÉloïse Boisseau\n\n1 Introduction\n\nThe conjoined issues of the trust placed in experts and the deference shown by non-specialists toward them are well-established topics in social epistemology (Hardwig, 1985, 1991; Lackey, 2018; Goldman, 2001; Rolin, 2002; Whyte & Crease, 2010).'}, {'word': 'ai', 'definition': 'an agency of the United States Army responsible for providing timely and relevant and accurate and synchronized intelligence to tactical and operational and strategic level commanders', 'sentence': '1–2) distinguishes three main forms of opacity for nonexperts, with regard to the functioning of machine learning-based AI systems.'}, {'word': 'ai', 'definition': 'an agency of the United States Army responsible for providing timely and relevant and accurate and synchronized intelligence to tactical and operational and strategic level commanders', 'sentence': 'One can read, for example, that ‘essentially, the relationship between practitioner and AI system is epistemic ally analogous to the relationship between practitioner and expert’ (Bjerring & Bush, 2020, p. 6), or that ‘the features that make expert opinion trustworthy, and our trust in those individuals’ decisions both epistemic ally and ethically responsible—can be realized in AI as well’ (Ross, 2022, p. 8).'}, {'word': 'ai', 'definition': 'an agency of the United States Army responsible for providing timely and relevant and accurate and synchronized intelligence to tactical and operational and strategic level commanders', 'sentence': 'One can read, for example, that ‘essentially, the relationship between practitioner and AI system is epistemic ally analogous to the relationship between practitioner and expert’ (Bjerring & Bush, 2020, p. 6), or that ‘the features that make expert opinion trustworthy, and our trust in those individuals’ decisions both epistemic ally and ethically responsible—can be realized in AI as well’ (Ross, 2022, p. 8).'}, {'word': 'ai', 'definition': 'an agency of the United States Army responsible for providing timely and relevant and accurate and synchronized intelligence to tactical and operational and strategic level commanders', 'sentence': 'According to these views, the AI system would then be considered a bona fide new expert, no longer human but artificial in nature (Grote & Berens, 2020).'}]
reason	{'reasoning'}	57	{'NOUN'}	[{'word': 'reasoning', 'definition': 'thinking that is coherent and logical', 'sentence': 'This, she writes, ‘stems from the mismatch between mathematical optimization in high dimensionality characteristic of machine learning and the demands of human-scale reasoning and styles of semantic interpretation’.'}, {'word': 'reasoning', 'definition': 'thinking that is coherent and logical', 'sentence': 'On the contrary, they are arguably rationally justified in defer ring to the experts’ decisions without having access to the reasoning behind them.'}, {'word': 'reasoning', 'definition': 'thinking that is coherent and logical', 'sentence': 'There are several presentations of this conceptualisation of human reasoning and decision-making processes (which here concern both experts and nonexperts) based on the blackbox model.\n\nRoss (2022, p. 2) notes that …\n\nFor the vast majority of society, the evidence and reasoning processes of any\n\nexpert in a specialized field is opaque, a genuine ‘black box’.'}, {'word': 'reasoning', 'definition': 'thinking that is coherent and logical', 'sentence': 'There are several presentations of this conceptualisation of human reasoning and decision-making processes (which here concern both experts and nonexperts) based on the blackbox model.\n\nRoss (2022, p. 2) notes that …\n\nFor the vast majority of society, the evidence and reasoning processes of any\n\nexpert in a specialized field is opaque, a genuine ‘black box’.'}, {'word': 'reasoning', 'definition': 'thinking that is coherent and logical', 'sentence': 'Finally, John Zerilli et al. (2019, p. 666) suggest that explaining human actions is all the more tricky because the agents themselves are sometimes unaware of their true motivations or what may have played a role in their reasoning.'}]
artifici	{'artificial'}	47	{'NOUN', 'ADJ'}	[{'word': 'artificial', 'definition': 'contrived by art rather than nature', 'sentence': 'These matters about trust, dependence and expertise in the context of knowledge acquisition, traditional as they are, are nowadays being revisited as our epistemic world is being redefined by the arrival of what might seem to be new epistemic agents: artificial systems apparently endowed with entirely new cognitive-like capabilities.'}, {'word': 'artificial', 'definition': 'contrived by art rather than nature', 'sentence': 'Used in an ever-increasing number of contexts and based on deep (or multilayer) artificial neural net works (DNNs), the programs we are ref erring to are so-called ‘learning’ programs, based on the method known as ‘deep learning’.'}, {'word': 'artificial', 'definition': 'contrived by art rather than nature', 'sentence': 'It is also widely suggested that a new stage has in fact been reached as far as epistemic dependence is concerned, due to the possession by these programs of an unprecedented characteristic for artificial systems: a kind of ‘opacity’ (Burrell, 2016; Creel, 2020; Ross, 2022; Zerilli, 2022; Duede, 2022).'}, {'word': 'artificial', 'definition': 'contrived by art rather than nature', 'sentence': 'According to these views, the AI system would then be considered a bona fide new expert, no longer human but artificial in nature (Grote & Berens, 2020).'}, {'word': 'artificial', 'definition': 'contrived by art rather than nature', 'sentence': 'In what follows, I shall argue that there are few merits but many limits to this comparison between the human expert and the artificial system.'}]
decis	{'decision'}	42	{'NOUN'}	[{'word': 'decision', 'definition': 'the act of making up your mind about something', 'sentence': 'Gran ting trust to gain knowledge or make an informed decision implies, at least temporarily and figuratively, to shut one’s eyes and rely on some thing other than one’s own cognitive, perceptive or intellectual capacities.'}, {'word': 'decision', 'definition': 'the act of making up your mind about something', 'sentence': 'We shall see that this conceptualisation is based on the much dis cussed but ambiguous notion of opacity (which in fact crystallises many debates surrounding artificial decision-making systems).'}, {'word': 'decision', 'definition': 'the act of making up your mind about something', 'sentence': 'A commonplace observation regarding trustworthiness is, of course, that there may be a discrepancy between an agent’s decision to trust another and the latter’s actual trustworthiness.'}, {'word': 'decision', 'definition': 'the act of making up your mind about something', 'sentence': 'There are several presentations of this conceptualisation of human reasoning and decision-making processes (which here concern both experts and nonexperts) based on the blackbox model.\n\nRoss (2022, p. 2) notes that …\n\nFor the vast majority of society, the evidence and reasoning processes of any\n\nexpert in a specialized field is opaque, a genuine ‘black box’.'}, {'word': 'decision', 'definition': 'the act of making up your mind about something', 'sentence': 'Melanie Mitchell (2019, p. 127) observes that …\n\nHumans can’t always explain their thought processes either, and you generally can’t look “under the hood” into other people’s brains (or into their “gut feelings”) to figure out how they came to any particular decision.'}]
agent	{'agent'}	41	{'NOUN'}	[{'word': 'agent', 'definition': 'an active and efficient cause; capable of producing a certain effect', 'sentence': 'For a start and from a general perspective, one crucial feature of trusting another agent is often presented as a form of uncertainty coupled to a positive expectation towards the trusted agent (Danks, 2019).'}, {'word': 'agent', 'definition': 'an active and efficient cause; capable of producing a certain effect', 'sentence': 'For a start and from a general perspective, one crucial feature of trusting another agent is often presented as a form of uncertainty coupled to a positive expectation towards the trusted agent (Danks, 2019).'}, {'word': 'agent', 'definition': 'an active and efficient cause; capable of producing a certain effect', 'sentence': 'Uncertainty on the one hand, because trusting implies not knowing for sure that the trusted agent will as a matter of fact be trustworthy.'}, {'word': 'agent', 'definition': 'an active and efficient cause; capable of producing a certain effect', 'sentence': 'And a positive expectation on the other hand, as trusting another agent suggests that one does think that said agent is, as a matter of fact, reliable or trustworthy.'}, {'word': 'agent', 'definition': 'an active and efficient cause; capable of producing a certain effect', 'sentence': 'And a positive expectation on the other hand, as trusting another agent suggests that one does think that said agent is, as a matter of fact, reliable or trustworthy.'}]
action	{'action'}	38	{'NOUN'}	[{'word': 'action', 'definition': 'something done (usually as opposed to something said)', 'sentence': 'It is perfectly conceivable that an expert might not know, on a particular occasion, how to justify their judgement, or that they might not be able, on a particular occasion, to explain their action.'}, {'word': 'action', 'definition': 'something done (usually as opposed to something said)', 'sentence': 'Although it is not always obvious for an expert who ‘sees’ rather than ‘deduces’ what is ‘the right thing to do’ to justify their action or decision, the fact remains that expertise requires that the actions carried out by the expert be intelligible in relation to the domain in which they are situated and the context in which they are carried out (here I disagree with Ground, 2024 but agree with Majdik & Keith, 2011).'}, {'word': 'action', 'definition': 'something done (usually as opposed to something said)', 'sentence': 'The criterion of the possibility of the expert providing an intelligible justification for their action thus poses a major problem for the analogy between the opacity of the output of AI systems and the opacity of the decisions of human experts: there is no question of an AI system understanding the subject for which it is mobilised, on the one hand, and explaining or justifying its output by appealing to reasons, on the other.'}, {'word': 'action', 'definition': 'something done (usually as opposed to something said)', 'sentence': 'As Jonathan Lowe noted (2009, p. 349), the ‘seemingly small step’ of turning the reasons for a person’s action or decision into the causes of their action or decision is in reality ‘an erroneous [step] of enormous magnitude’.'}, {'word': 'action', 'definition': 'something done (usually as opposed to something said)', 'sentence': 'As Jonathan Lowe noted (2009, p. 349), the ‘seemingly small step’ of turning the reasons for a person’s action or decision into the causes of their action or decision is in reality ‘an erroneous [step] of enormous magnitude’.'}]
knowledg	{'knowledge'}	32	{'NOUN'}	[{'word': 'knowledge', 'definition': 'the psychological result of perception and learning and reasoning', 'sentence': 'Our ability to gain knowledge, presented as an irreducibly social enterprise, is arguably one in which it is then rational for a layperson to rely on the testimony of the expert (Hardwig, 1985)1.'}, {'word': 'knowledge', 'definition': 'the psychological result of perception and learning and reasoning', 'sentence': 'This rational reliance on the expert to gain knowledge is nevertheless associated with a certain sort of (more or less) voluntary blindness from the one seeking knowledge.'}, {'word': 'knowledge', 'definition': 'the psychological result of perception and learning and reasoning', 'sentence': 'This rational reliance on the expert to gain knowledge is nevertheless associated with a certain sort of (more or less) voluntary blindness from the one seeking knowledge.'}, {'word': 'knowledge', 'definition': 'the psychological result of perception and learning and reasoning', 'sentence': 'Gran ting trust to gain knowledge or make an informed decision implies, at least temporarily and figuratively, to shut one’s eyes and rely on some thing other than one’s own cognitive, perceptive or intellectual capacities.'}, {'word': 'knowledge', 'definition': 'the psychological result of perception and learning and reasoning', 'sentence': 'These matters about trust, dependence and expertise in the context of knowledge acquisition, traditional as they are, are nowadays being revisited as our epistemic world is being redefined by the arrival of what might seem to be new epistemic agents: artificial systems apparently endowed with entirely new cognitive-like capabilities.'}]
subject	{'subject'}	27	{'NOUN', 'ADJ'}	[{'word': 'subject', 'definition': 'possibly accepting or permitting', 'sentence': 'The rationale would be that the epistemic dependence to which we are subject in relation to deep learning-based systems would itself be similar or analogous to that which we experience in relatively ordinary situations of lay deference to the expert (Zerilli et al. 2019, London, 2019).'}, {'word': 'subject', 'definition': 'possibly accepting or permitting', 'sentence': 'I will temper the extent to which human expertise is opaque, and suggest a number of criteria for being deemed ‘expert’ on a subject matter – which, as we shall see, AI systems logically cannot satisfy.'}, {'word': 'subject', 'definition': 'possibly accepting or permitting', 'sentence': 'We would encounter in this type of case the useful distinction pro posed by Watson (2018) between expertise ‘in a subject matter’ and expertise ‘about a subject matter’.'}, {'word': 'subject', 'definition': 'possibly accepting or permitting', 'sentence': 'We would encounter in this type of case the useful distinction pro posed by Watson (2018) between expertise ‘in a subject matter’ and expertise ‘about a subject matter’.'}, {'word': 'subject', 'definition': 'possibly accepting or permitting', 'sentence': 'Our experts in the identification of artificial experts would be analogous to experts in parapsychology or phrenology: they would be experts about a subject matter (artificial expertise – or parapsychology, phrenology), in the sense that they would know perfectly well the characteristics, history or doctrines related to such a subject matter.'}]
