stem	words	count	pos	definition
expert	{'expert', 'experts'}	168	{'NOUN'}	{'a person with special knowledge or ability who performs skillfully'}
human	{'humans', 'human'}	91	{'NOUN', 'ADJ'}	{'all of the living human inhabitants of the earth', 'characteristic of humanity'}
expertis	{'expertise'}	80	{'NOUN', 'PROPN'}	{'skillfulness by virtue of possessing special knowledge'}
epistem	{'epistemic'}	80	{'ADJ'}	{'of or relating to epistemology'}
place	{'place', 'placed'}	40	{'VERB'}	{'put into a certain place or abstract location'}
decis	{'decisions', 'decision'}	40	{'NOUN'}	{'the act of making up your mind about something'}
knowledg	{'knowledge'}	31	{'NOUN'}	{'the psychological result of perception and learning and reasoning'}
individu	{'individual', 'individuals'}	26	{'NOUN', 'ADJ'}	{'being or characteristic of a single thing or person', 'a human being'}
hand	{'hand'}	25	{'NOUN'}	{'the (prehensile) extremity of the superior limb'}
person	{'personal', 'person'}	25	{'NOUN', 'ADJ'}	{'concerning or affecting a particular person or his or her private life and personality', 'a human being'}
base	{'based'}	23	{'VERB'}	{'use as a basis for; found on'}
describ	{'described', 'describes'}	23	{'VERB'}	{'give a description of'}
insofar	{'insofar'}	22	{'ADV'}	{'to the degree or extent that'}
trustworthi	{'trustworthy', 'trustworthiness'}	21	{'NOUN', 'ADJ'}	{'worthy of trust or belief', 'the trait of deserving trust and confidence'}
analog	{'analogous'}	19	{'ADJ'}	{'similar or equivalent in some respects though otherwise dissimilar'}
reliabl	{'reliable', 'reliability'}	19	{'NOUN', 'ADJ'}	{'worthy of reliance or trust', 'the quality of being dependable or reliable'}
artefact	{'artefacts', 'artefact'}	18	{'NOUN'}	{'a man-made object taken as a whole'}
gener	{'generally', 'general'}	16	{'ADJ', 'ADV'}	{'usually; as a rule', 'applying to all or most members of a category or group'}
literatur	{'literature'}	15	{'NOUN'}	{'creative writing of recognized artistic value'}
explan	{'explanation'}	15	{'NOUN'}	{'a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.'}
note	{'notes', 'note', 'noted'}	15	{'VERB'}	{'make mention of'}
layperson	{'layperson'}	14	{'NOUN', 'PROPN'}	{'someone who is not a clergyman or a professional person'}
exampl	{'example', 'examples'}	14	{'NOUN'}	{'an item of information that is typical of a class or group'}
attribut	{'attributed', 'attributing'}	14	{'VERB'}	{'attribute or credit to'}
technolog	{'technologies', 'technology'}	13	{'NOUN'}	{'the practical application of science to commerce or industry'}
abil	{'ability', 'abilities'}	12	{'NOUN'}	{'the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment'}
reli	{'rely'}	12	{'VERB'}	{'have confidence or faith in'}
discuss	{'discussed', 'discussions', 'discussing'}	12	{'NOUN', 'VERB'}	{'an extended communication (often interactive) dealing with some particular topic', 'to consider or examine in speech or writing'}
type	{'type', 'types'}	12	{'NOUN'}	{'a subdivision of a particular kind of thing'}
causal	{'causal'}	12	{'ADJ'}	{'involving or constituting a cause; causing'}
credibl	{'credibility'}	12	{'NOUN'}	{'the quality of being believable or trustworthy'}
goldman	{'goldman'}	11	{'PROPN'}	{'United States anarchist (born in Russia) who opposed conscription; was deported to the Soviet Union in 1919 (1869-1940)'}
kind	{'kind'}	11	{'NOUN'}	{'a category of things distinguished by some common characteristic or quality'}
algorithm	{'algorithmic', 'algorithms', 'algorithm'}	11	{'NOUN', 'ADJ'}	{'a precise rule (or set of rules) specifying how to solve some problem', 'of or relating to or having the characteristics of an algorithm'}
differ	{'differ', 'different'}	11	{'ADJ', 'VERB'}	{'be different', 'unlike in nature or quality or form or degree'}
actual	{'actual', 'actually'}	11	{'ADJ', 'ADV'}	{'presently existing in fact and not merely potential or possible', 'in actual fact'}
write	{'write', 'writing', 'writes'}	10	{'VERB'}	{'produce a literary work'}
depend	{'depending', 'dependence'}	9	{'NOUN', 'VERB'}	{'the state of relying on or being controlled by someone or something else', 'be contingent upon (something that is elided)'}
cognit	{'cognitive'}	9	{'ADJ'}	{'of or being or relating to or involving cognition'}
frequent	{'frequently'}	9	{'ADV'}	{'many times at short intervals'}
accord	{'according', 'accordance'}	9	{'NOUN', 'VERB'}	{'concurrence of opinion', 'go together'}
view	{'views', 'view'}	9	{'NOUN'}	{'a way of regarding situations or topics etc.'}
longer	{'longer'}	9	{'ADV'}	{'for more time'}
author	{'authority', 'authors'}	9	{'NOUN'}	{'writes (books or stories or articles or the like) professionally (for pay)', 'the power or right to give orders or make decisions'}
compet	{'competent', 'competence'}	9	{'NOUN', 'ADJ'}	{'properly or sufficiently qualified or capable or efficient', 'the quality of being adequately or well qualified physically and intellectually'}
system	{'Systems', 'systems'}	123	{'NOUN'}	{'an organized structure for arranging or classifying', 'a group of independent but interrelated elements comprising a unified whole'}
trust	{'trust'}	105	{'NOUN'}	{'complete confidence in a person or plan etc', 'the trait of believing in the honesty and reliability of others', 'certainty based on past experience'}
opac	{'opacity'}	78	{'NOUN'}	{'the quality of being opaque to a degree; the degree to which something reduces the passage of light', 'incomprehensibility resulting from obscurity of meaning'}
ai	{'AI'}	76	{'PROPN'}	{'the branch of computer science that deal with writing computer programs that can solve problems creatively', 'a sloth that has three long claws on each forefoot and each hindfoot'}
reason	{'reason'}	57	{'NOUN'}	{'a justification for something existing or happening'}
artifici	{'artificial'}	47	{'ADJ'}	{'artificially formal'}
form	{'forms', 'form'}	42	{'NOUN'}	{'a category of things distinguished by some common characteristic or quality', 'a perceptual structure'}
agent	{'agents', 'agent'}	41	{'NOUN'}	{'a substance that exerts some force or effect', 'a representative who acts on behalf of other persons or organizations'}
action	{'action', 'actions'}	37	{'NOUN'}	{'the series of events that form a plot', 'the state of being active'}
concept	{'conception'}	33	{'NOUN'}	{'the event that occurred at the beginning of something'}
question	{'question', 'questions'}	30	{'NOUN'}	{'the subject matter at issue'}
fact	{'fact'}	28	{'NOUN'}	{'a statement or assertion of verified information about something that is the case or has happened'}
machin	{'machine'}	28	{'NOUN'}	{'an intricate organization that accomplishes its goals efficiently'}
understand	{'understanding', 'understand'}	28	{'VERB'}	{'believe to be the case', 'make sense of a language'}
subject	{'subject'}	27	{'ADJ'}	{'being under the power or sovereignty of another or others'}
explain	{'explains'}	26	{'VERB'}	{'serve as a reason or cause or justification of'}
sens	{'sense'}	26	{'NOUN'}	{'sound practical judgment', 'the meaning of a word or expression; the way in which a word or expression or situation can be interpreted'}
way	{'way'}	26	{'NOUN'}	{'how a result is obtained or an end is achieved'}
context	{'context', 'contexts'}	25	{'NOUN', 'PROPN'}	{'the set of facts or circumstances that surround a situation or event'}
consid	{'consider'}	25	{'VERB'}	{'show consideration for; take into account'}
judgement	{'judgements', 'judgement'}	25	{'NOUN'}	{'the capacity to assess situations or circumstances shrewdly and to draw sound conclusions'}
use	{'use'}	24	{'VERB'}	{'avail oneself to'}
certain	{'certain'}	24	{'ADJ'}	{'having or feeling no doubt or uncertainty; confident and assured'}
point	{'pointed', 'points', 'point'}	24	{'NOUN', 'VERB'}	{'an isolated fact that is considered separately from the whole', 'a brief version of the essential meaning of something', 'be a signal for or a symptom of'}
